ProductType,SKU,BarCode,Brand,Category,SubCategory,Name,Description,HSNSACCode,ChargeTaxOnProduct,MRP,SupplyPrice,RetailPrice,Markup,DiscountPercentage,DiscountAmount,TaxInclusive,TaxInclusivePurchase,TaxGroup,PriceBasedTax,PriceRangeFrom1,PriceRangeTo1,TaxGroup1,PriceRangeFrom2,PriceRangeTo2,TaxGroup2,InventoryType,RepackProduce,MinQty,MaxQty,ReorderQty,UniqueNoLabel,NoOfUniqueNoPerItem,AllowDiscount,AllowPriceEdit,AllowTaxChange,WalletTopUpAmount,WalletTopUpSameAsRetailPrice,AllowUserToSpecifyRechargeAmountAtTimeOfBilling,CustomField1,CustomField2,CustomField3,CustomField4,CustomField5,CustomField6,UOM,SecondaryUOM,UOMToSecondaryUOMConversion,SalesUOM,PurchaseUOM,PromptForQty,Favourite,ShowOnline,BOM,BOMManual,CanBeUsedAsConsumable,AssociateMembership,Membership,BatchTrackingBatchNoRequired,BatchTrackingMRPRequired,BatchTrackingMfgDateRequired,BatchTrackingExpDateRequired,BatchTrackingDateFormat,ParentSKU,VariantOptionOneName,VariantOptionOneValue,VariantOptionTwoName,VariantOptionTwoValue,VariantOptionThreeName,VariantOptionThreeValue,ProductID
Goods for sale,DVS7-,,,SHOES,,DERBY VELCRO SHOES / S7-,,,Yes,246,107,246,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,CLxrHddrbC6JN3x6jE2T
Goods for sale,DVS5-,,,SHOES,,DERBY VELCRO SHOES / S5-,,,Yes,246,107,246,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,B947WOniDoJTqv4Gb7K1
Goods for sale,DVS6-,,,SHOES,,DERBY VELCRO SHOES / S6-,,,Yes,246,107,246,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,1aCb1rcIQm9uJTMSioqU
Goods for sale,DVB7.,,,SHOES,,DERBY VELCRO SHOES / B7.,,,Yes,246,107,246,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,NgGH6TbIz3mbsWIqpwri
Goods for sale,DVB6-,,,SHOES,,DERBY VELCRO SHOES / B6-,,,Yes,246,141,246,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,Di70R8ktWdTLjrmA30d2
Goods for sale,DVS11.,,,SHOES,,DERBY VELCRO SHOES / S11.,,,Yes,278,141,278,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,ZSpewQhRcY5GgrEdY50k
Goods for sale,DVB2.,,,SHOES,,DERBY VELCRO SHOES / B2.,,,Yes,297,141,297,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,3AvF0x5D9IuHlPBYQeLk
Goods for sale,DVS7.,,,SHOES,,DERBY VELCRO SHOES / S7.,,,Yes,246,121,246,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,xLs0XN6B63GpJrDLCzrD
Goods for sale,DVB5.,,,SHOES,,DERBY VELCRO SHOES / B5.,,,Yes,324,201,324,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,wuFkuFJAZhi9NkqoqYup
Goods for sale,DVB4.,,,SHOES,,DERBY VELCRO SHOES / B4.,,,Yes,324,201,324,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,H0ckkfIXszrYTiK9S07a
Goods for sale,DVS9.,,,SHOES,,DERBY VELCRO SHOES / S9.,,,Yes,262,114,260,0,7,18.2,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,GMrdvR5DtMfl6DsMmNzc
Goods for sale,DVS6.,,,SHOES,,DERBY VELCRO SHOES / S6.,,,Yes,246,121,246,0,7,14.7,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,B7Jo2wbBBkfJZOGnJdxz
Goods for sale,DVS10.,,,SHOES,,DERBY VELCRO SHOES / S10.,,,Yes,262,114,260,0,7,18.2,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,8ctzjuIJUKYEML8vhqcY
Goods for sale,DVS8.,,,SHOES,,DERBY VELCRO SHOES / S8.,,,Yes,262,114,260,0,7,18.2,Yes,No,GST 5%,No,,,,,,,FIFO,No,,,,,,Yes,Yes,Yes,0,No,No,,,,,,,,,,,,No,No,No,No,No,No,No,,No,No,No,No,mm/yy,,,,,,,,I0zBVT9Jft61SCDxRwle
